Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,17778508875.7396,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,1.87319280045979,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,416.871146273728,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,66.289,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,11.184,..,..,11.71,5.679,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241458744.5927,18031989573.0294,19017247013.8821,23491242727.4082,27037474263.2977,30540188271.3421
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.8268006234359,4.01541716935742,4.04592845095348,3.78893836241024
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9740.7023414631,11374.0085781236,12998.147869552
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,79.776,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.418,13.616,12.304,11.466,11.639,11.474,10.785,9.473,8.431,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225581644702.568,247923887214.655,269322281664.773,287031225987.736
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.69999999907979,3.815543719231
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465,6051.00322704182
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,76.475,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.202,11.707,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,..,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,72.992,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2896610479.86771,3000162081.22353,3218419896.93333,3155149347.92156,2891001149.40079,3324647529.41855,3380612573.4825,3785067331.88242,4044249678.65625,4500982731.80784
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,3.8491605039052,3.86803450687808
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40129.8192026671,40672.9943362327,42819.774579353,41257.8045861543,37361.090067211,42425.6996761083,42414.0590111349,46812.448450114,49357.437070178,54291.5026031052
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,84.188,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,60770049747.3832,85629598654.1906,90506061877.2765,81193813808.0382,58512033805.8981,78283923543.8237,128233959333.275,106042349567.303,103080538044.058,122174889423.635
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.233076954805284,-0.164688656961076,-0.506697543616156,-1.05523414494337,-5.27349128300007,1.09058369944815,3.55749206675667,1.32016587081031,4.95267860425956,3.13353542450008
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2082.37343594705,2832.14997950512,2891.83032378747,2507.86807213642,1749.1794838482,2266.96834861584,3598.53669077341,2885.51349130806,2720.81900669715,3129.47662331063
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,64.805,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,16.431,16.033,15.806,14.094,12.885,13.937,10.391
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1857114814.81481,2054096296.2963,2162366666.66667,2338196296.2963
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.1203675438061,2.71272657973627,6.71200487159726,3.1722219373937,-18.8687765208148,8.17286311186622,8.49776342254205,3.86550160079324,2.54044193946544,4.99803998431987
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20003.3909394099,22012.2625947994,23059.8330702839,24819.2454680158
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,77.766,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,8.78,..,..,..,..,..,..,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04,683097891618.597
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739,4.36733330217022
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737,14898.0885943842
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,77.543,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,8.347,9.22,9.843,11.461,8.736,6.805,6.139,1.725,7.377
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24185982215.6543,25955275380.0321,29243452882.3545
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766,8.29999999959539,5.90000000046228,7.2
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996,8556.21406956719,9474.01849300368
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366,77.4658536585366,78.319512195122,..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,17.617,17.704,10.589,9.794,8.055,8.418,8.262,8.298,..,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2983637430.1676,3092427932.96089,3276187709.49721,3347561738.94591,2461056053.22795,2889305033.55975,3326671314.7742,3746573413.07565,4167588070.29217,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.23433537363427,3.49342985290626,3.21247111920076,1.22914408896015,-23.9400592677491,14.833691976226,10.6079607621246,9.51636022347185,6.81077669324554,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,27441.5502144601,28440.0416881491,30082.1584226798,30654.4851235397,22664.3709949437,26827.3447869986,31000.5713798732,34897.6183932009,38590.5650288641,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,76.5,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1211588128417.61,1330890554614.09,1433144978761.67,1398349602956.35,1333336461648.09,1560617493202.69,1695627535475.8,1734451264655.6,1757022451652.83,1798518933689.21
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732,3.58382100798981,1.37340773365975,1.35039785076631
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64609.9865116088,65129.7227990563
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,83.0512195121951,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.714,5.604,5.345,5.143,6.394,5.022,3.728,3.668,3.942,4.197
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480466363176.806,473221298968.216,516670509628.876,534790720466.822,579470021095.418
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.11721964494312,2.27224992038207,2.48422114080024,1.75497619649288,-6.31825509209936,4.92309171717903,5.33096379400371,-0.786244288594673,-0.659089573171372,0.615747280959056
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601,62930.0351324599
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.7926829268293,81.9951219512195,..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.327,5.778
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74426000000,75937647058.8235
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.06359842251706,0.153614661745507,1.50040167167313,2.47980879185565,-4.19896065333343,5.61644027150554,4.71468033247649,1.35447749115767,4.15806800428062,1.44985591122698
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7294.64276088105,7410.72281660142
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,74.576,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5,5,4.9,5.004,7.243,6.039,5.7,..,..,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000,..
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.15650811269629,3.3713988456489,2.39795510823548,-0.838585871193203,-20.0893664891399,17.5861390037409,10.8779009410268,3.04824180553773,3.37866553336166,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,74.71,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.7,9.8,10,9.336,..,..,..,10.346,..,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47210732712.766,48965725531.9149
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.81499327422425,4.95383534123657,2.05258864979861,2.05287774418655,-5.9113629524152,4.35004091668986,6.18016125475185,3.87811614845566,2.89710543153512,3.48137573668635
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,29717.1424605273,30596.5794898885
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,81.423,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119432068.852,456319229255.578
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,4.22325911250161,3.48990671836833
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774,2597.34352335275
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,74.93,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.2,4.372,..,..,..,..,4.593,3.352,3.635,..
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5679029450,5847381600,6001101550,6166710800,5403246950,5948900600,6886644900,7223248150,7597571450,8016550000
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.41632446821541,0.654655602860373,-0.252085325827849,0.241099789148677,-17.4059314651747,8.0198770096479,15.9453206225473,1.81419817804516,3.3669492581395,2.70000021764021
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,20311.4094163764,20870.7596432179,21378.2201267496,21929.435611489,19180.9915228365,21084.4013935998,24393.2193483944,25583.8722302505,26897.2002039176,28364.8181499736
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,76.332,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.247,8.62,8.321,8.41,..,11.015,7.261,6.54,6.03,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,78591839299.7087,93397215864.198
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.5264464460425,2.53218349471909,3.14919758275296,1.44645548204305,-0.672742918585868,2.43886210234947,-4.65839591328999,4.12654007153881,4.34999638140579,1.29999999999998
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8605.60954569694,10279.2547190723
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.1385609756098,72.0714634146342,74.1033658536585,74.1837804878049,74.3653414634147,..
